#Table1
class,z,dered_r
GALAXY,0.05720931,16.63729
GALAXY,0.06147218,17.67372
QSO,1.961986,18.91603
GALAXY,0.1472057,17.56077
GALAXY,0.464956,18.76602
GALAXY,0.1362191,17.44287
GALAXY,0.1362463,17.44287
GALAXY,0.1675947,17.68293
GALAXY,0.1675548,17.68293
GALAXY,0.09889773,17.44437
QSO,1.045241,19.20055
QSO,1.042886,19.20055
GALAXY,0.1466059,17.51665
GALAXY,0.1472292,17.56077
GALAXY,0.04707855,16.71248
GALAXY,0.04712786,16.71248
QSO,0.4448358,18.01535
GALAXY,0.1514333,17.49459
GALAXY,0.0512595,16.38728
GALAXY,0.14677,17.51665
GALAXY,0.08884182,17.71271
GALAXY,0.006573134,16.98379
GALAXY,0.1515787,17.49459
GALAXY,0.07929757,16.92903
GALAXY,0.05720619,16.63729
GALAXY,0.4655202,18.76602
GALAXY,0.00658949,16.98379
GALAXY,0.06147911,17.67372
GALAXY,0.07932202,16.92903
GALAXY,0.05129556,16.38728
QSO,0.2686884,
GALAXY,0.09790982,16.69328
GALAXY,0.09790488,16.69328
GALAXY,0.0982094,15.9058
GALAXY,0.09089124,17.5755
GALAXY,0.08334593,16.58957
GALAXY,0.09088663,17.5755
GALAXY,0.3363543,18.93566
GALAXY,0.1469123,17.41586
GALAXY,0.08333942,16.58957
GALAXY,0.06459321,17.19665
GALAXY,0.0984159,17.58881
GALAXY,0.1469381,17.41586
GALAXY,0.06222474,17.00166
GALAXY,0.09836841,17.58881
GALAXY,0.09825251,15.9058
GALAXY,0.08320359,16.54853
QSO,1.475546,19.05774
QSO,1.475549,19.05774
GALAXY,0.3226696,17.83565
GALAXY,0.06212905,17.00166
QSO,0.488738,19.37494
QSO,4.776288,
GALAXY,0.09015931,17.32221
GALAXY,0.1219126,17.45115
GALAXY,0.1219135,17.45115
GALAXY,0.1256563,17.36834
GALAXY,0.3363987,18.93566
GALAXY,0.3227199,17.83565
QSO,0.1787888,
GALAXY,0.09018394,17.32221
GALAXY,0.1256738,17.36834
GALAXY,0.06460119,17.19665
QSO,0.4887057,19.37494
GALAXY,0.08318624,16.54853
GALAXY,0.06223454,17.27267
GALAXY,0.4498689,19.11696
GALAXY,0.08260037,16.84773
GALAXY,0.8670253,19.11696
GALAXY,0.1636852,17.65182
QSO,0.7070392,
GALAXY,0.1623894,17.6479
GALAXY,0.1353626,16.54831
GALAXY,0.06182272,15.60514
GALAXY,0.06257941,16.3768
QSO,6.311577,
GALAXY,0.163592,17.65182
GALAXY,0.08390663,16.62425
GALAXY,0.1973957,17.38824
GALAXY,0.05735964,17.51391
GALAXY,0.1638765,17.55861
GALAXY,0.1974915,17.38824
QSO,0.6947224,20.08929
GALAXY,0.1639919,17.55861
GALAXY,0.05736921,17.51391
GALAXY,0.06256682,16.3768
GALAXY,0.08259339,16.84773
GALAXY,0.1660953,17.56929
GALAXY,0.1661347,17.56929
GALAXY,0.06218995,17.27267
GALAXY,0.06183128,15.60514
GALAXY,0.3745093,18.44499
QSO,0.4609898,18.44499
GALAXY,0.4573883,19.03916
GALAXY,0.7392149,19.03916
GALAXY,0.08399225,16.62425
GALAXY,0.1353705,16.54831
GALAXY,0.1624241,17.6479
QSO,0.6948174,20.08929
GALAXY,0.04576435,16.06775
GALAXY,0.4102879,18.89108
GALAXY,0.1459535,17.63971
GALAXY,0.1461468,16.58398
GALAXY,0.1523109,17.67614
GALAXY,0.04570889,16.06775
GALAXY,0.1461367,16.58398
GALAXY,0.3582156,19.0974
QSO,1.405001,18.3749
GALAXY,0.1557892,17.25639
GALAXY,0.3581575,19.0974
GALAXY,0.1522246,17.67614
GALAXY,0.4104962,18.89108
GALAXY,0.006378901,
QSO,1.605544,
GALAXY,0.1459859,17.63971
GALAXY,0.1558278,17.25639
QSO,1.606542,
GALAXY,0.0904962,17.32347
GALAXY,0.1229392,17.2604
GALAXY,0.1230344,17.2604
GALAXY,0.1225028,16.94376
GALAXY,0.1225,16.94376
GALAXY,0.1230946,17.58772
GALAXY,0.09049731,17.32347
GALAXY,0.00638492,
GALAXY,0.1204177,17.75887
QSO,1.4047,18.3749
GALAXY,0.1532605,17.50534
GALAXY,0.9917079,
GALAXY,0.004287427,
GALAXY,0.1533363,17.50534
GALAXY,0.120346,17.75887
GALAXY,0.1230656,17.58772
GALAXY,0.05157993,17.30493
GALAXY,0.4403714,19.38155
GALAXY,0.1231886,16.87716
GALAXY,0.1521185,16.33869
GALAXY,0.1244643,16.65275
GALAXY,0.03801033,16.16266
